Grant Name	Sponsor	Link	Open Date	Deadline	Status	Relevance	EQORE Fit	Ease of Use	Match %	Opp ID	Opportunity Number
Partnership for Disaster Health Response System (EP-HIT-22-002)	Assistant Secretary for Preparedness and Response	https://www.grants.gov/search-results-detail/336273	10/25/2021		forecasted	0.0	4.0	4.0	0.0	336273	EP-HIT-22-002
Venezuela Annual Program Statement (FY-2021VE001)	U.S. Mission to Venezuela	https://www.grants.gov/search-results-detail/330548	12/21/2020		forecasted	0.0	3.0	4.0		330548	FY-2021VE001
CyberCorps(R) Scholarship for Service (23-574)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347330	04/05/2023	07/15/2026	posted	0.0	3.0	5.0		347330	23-574
EPSCoR Research Infrastructure Improvement Program: EPSCoR Collaborations for Optimizing Research Ecosystems (25-523)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/357725	12/14/2024	07/21/2026	posted	1.0	3.0	5.0		357725	25-523
EPSCoR Research Infrastructure Improvement Program: EPSCoR Research Incubators for STEM Excellence (25-522)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/357724	12/14/2024	08/11/2026	posted	1.0	3.0	5.0		357724	25-522
Science of Learning and Augmented Intelligence (SL) (PD-19-127Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/320753	09/19/2019	02/11/2026	posted	0.0	3.0	5.0		320753	PD-19-127Y
Somalia Operational Mentorship and Sustainment Capacity Building (DFOP0017536)	Bureau of Political-Military Affairs - WRA	https://www.grants.gov/search-results-detail/360248	08/06/2025	09/03/2025	posted	0.5	3.0	1.0		360248	DFOP0017536
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity (FA8650-19-S-5010)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/318351	07/12/2019	07/12/2026	posted	1.0	3.0	5.0		318351	FA8650-19-S-5010
Notice of Intent to Issue Infrastructure Investment and Jobs Act (IIJA): Mines and Metals Capacity Expansion &ndash; Piloting By-Product Critical Minerals and Materials Recovery at Domestic Industrial Facilities (DE-FOA-0003582)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/360291	08/13/2025	12/15/2025	posted	1.0	4.0	4.0		360291	DE-FOA-0003582
Resource and Capacity Building to Advance the Science of Aggression across Species and Disciplines (R24 Clinical Trial Optional) (TEMP-31698)	National Institutes of Health	https://www.grants.gov/search-results-detail/359820	06/25/2025		forecasted	0.0	3.0	4.0		359820	TEMP-31698
Building and Strengthening Public Health Systems, Impact, and Capacity in Indonesia through Partner Collaboration (CDC-RFA-JG-26-0053)	Centers for Disease Control-GHC	https://www.grants.gov/search-results-detail/360338	08/22/2025		forecasted	0.0	3.0	4.0		360338	CDC-RFA-JG-26-0053
HEAL Initiative: Integrative Management of chronic Pain and OUD for Whole Recovery (IMPOWR) - Building Engagement, Assistance, Capacity, Outreach, and Networks (BEACON) Center (RFA-DA-27-006)	National Institutes of Health	https://www.grants.gov/search-results-detail/360366	08/27/2025		forecasted	0.5	3.0	4.0		360366	RFA-DA-27-006
Public Health Crisis Response Cooperative Agreement (CDC-RFA-TP22-2201)	Centers for Disease Control - OPHPR	https://www.grants.gov/search-results-detail/337086	01/13/2022	02/11/2027	posted	0.0	3.0	5.0		337086	CDC-RFA-TP22-2201
Native Hawaiian Resource Center on Domestic Violence (HHS-2025-ACF-OFVPS-FV-0027)	Administration for Children and Families - OFVPS	https://www.grants.gov/search-results-detail/355628	08/22/2025	09/02/2025	posted	0.5	3.0	1.0		355628	HHS-2025-ACF-OFVPS-FV-0027
